id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38074249,Artsy South Austin Private Rm/Bath + Bus Route DT,21448005,Chelsea,,78748,30.1802,-97.79153,Private room,44,2,16,2020-01-11,3.75,1,55
38074730,In my home you'll feel at your home!breakfast free,280215231,Jared,,78750,30.42067,-97.79555,Private room,75,1,0,,,1,29
38074956,"{{ULTRA MASTER ROOM/BATH,3 QUEENS, NO CLEANING FEE",255898643,Sam,,78705,30.28934,-97.74211,Private room,39,1,18,2019-12-24,3.94,11,71
38085167,Wyndham Austin - 1 Bedroom Deluxe,194953121,Christian,,78701,30.27191,-97.74807,Entire home/apt,539,2,0,,,41,341
38090813,Tiny Home Close to Downtown and Parks,256882822,Annette,,78741,30.23835,-97.69676,Entire home/apt,55,1,15,2019-12-27,6.34,1,32
38095804,"NEW-Lavish House w/Patio, 3 Blocks to Lake Austin!",124060715,Evolve,,78732,30.3324,-97.92864,Entire home/apt,828,2,0,,,40,343
38096398,Bright and Spacious Oasis,288050185,Rachel,,78702,30.25459,-97.71176,Entire home/apt,990,1,3,2019-10-11,0.68,3,274
38097309,Quiet Home Near Airport and East Austin,77334328,Trevin,,78725,30.23175,-97.58408,Private room,30,1,14,2019-11-25,3.11,1,89
38098269,Bright and Sleek Modern Home,288050185,Rachel,,78702,30.25316,-97.71002,Entire home/apt,540,1,4,2019-12-15,1.00,3,306
38098824,Spacious and Sleek Modern Elegance,288050185,Rachel,,78702,30.25499,-97.71052,Entire home/apt,1300,1,9,2019-12-24,2.45,3,273
38099791,MUELLER BUNGALOW W/ BACKYARD THEATRE and FIRE!,289195665,Michael,,78723,30.29829,-97.68355,Entire home/apt,900,1,5,2019-11-11,1.63,1,87
38100438,Modern Studio at The Domain #1342 by WanderJaunt,104309976,WanderJaunt,,78758,30.40315,-97.72326,Entire home/apt,10000,1,11,2020-01-05,2.50,208,167
38101779,Peaceful Studio minutes away Downtown ATX!,33847782,Ishia,,78704,30.25699,-97.75954,Entire home/apt,99,4,4,2019-11-05,1.22,1,1
38103680,The Little House in SOCO,289255515,Dagmar,,78704,30.24244,-97.76249,Entire home/apt,125,2,6,2019-11-17,1.43,1,72
38104906,South Austin Home,29002879,Leeza,,78745,30.21777,-97.78157,Entire home/apt,150,2,0,,,1,14
38106797,Amazing iconic Austin views 15 mins to downtown!,253261252,Kailum,,78731,30.34597,-97.78197,Private room,75,1,9,2019-11-18,2.13,1,0
38123319,"Modern Chic Condo w/Balcony+Pool, Walk to Downtown",124060715,Evolve,,78702,30.25946,-97.72476,Entire home/apt,612,2,2,2019-12-08,0.78,40,278
38125719,‍‍ Jack and Jill Units-Near UT/downtown-Sleeps 20+,149320585,Autumn,,78751,30.31887,-97.7291,Entire home/apt,452,1,0,,,5,138
38128298,Chic and cozy apartment with cute balcony !,282930278,Silvana,,78759,30.3937,-97.73899,Entire home/apt,180,1,7,2019-11-03,1.58,1,8
38129175,Charming 1BR in East Austin #129 by WanderJaunt,104309976,WanderJaunt,,78722,30.28306,-97.71631,Entire home/apt,10000,1,14,2020-01-10,3.31,208,174
38130493,Stylish 1BR in East Austin #216 by WanderJaunt,104309976,WanderJaunt,,78722,30.2839,-97.71566,Entire home/apt,10000,1,13,2020-01-01,2.93,208,173
